,entity,label,count
217,"('Talis', 'Linkaits', 'BNS-le')",ORG,1
218,"('Zorzs', 'Tikmers', 'Läti', 'Teest')",ORG,1
219,"('Zigmunds', 'Krastins', 'Rahvaerakonnast')",ORG,1
220,"('Juris', 'Vinkelis')",ORG,1
221,"('Isamaale', 'ja', 'Vabadusele')",ORG,1
222,"('LNNK',)",ORG,1
223,"('Uue', 'Partei')",ORG,1
224,"('Gundars', 'Grinvalds')",PER,1
225,"('Aigars', 'Kalvitise')",PER,1
226,"('Läti', 'Erastamisagentuuri')",ORG,1
227,"('Talis', 'Linkaits')",ORG,1
228,"('Riia', 'Tehnikaülikooli')",ORG,1
229,"('Leonids', 'Ribickis')",PER,1
230,"('Poola', 'Kredyt', 'Bank', 'S')",ORG,1
231,"('Eestisse',)",LOC,27
232,"('Talibor',)",ORG,1
233,"('Talibid',)",ORG,1
234,"('Eesti', 'Pank')",ORG,1
235,"('Hansapank',)",ORG,8
236,"('Ühispank',)",ORG,2
237,"('Optiva', 'Pank')",ORG,1
238,"('Merita', 'Pank')",ORG,2
239,"('Svenska', 'Handelsbanken')",PER,1
240,"('Akmenes', 'Cementas')",PER,1
241,"('Valgevene',)",LOC,7
242,"('Akmenes', 'Cementasi')",PER,1
243,"('Pranas', 'Kristopaitis')",PER,1
244,"('Kristopaitis',)",LOC,1
245,"('Akmenes', 'Cementase')",PER,1
246,"('Belgia',)",LOC,3
247,"('Belgias',)",LOC,1
248,"('tervishoiuministeeriumi',)",ORG,1
249,"('Reuters',)",ORG,4
250,"('Prantsusmaa',)",LOC,7
251,"('Põhja-Taanis',)",LOC,1
252,"('Jüütimaal',)",LOC,1
253,"('Hollandis',)",LOC,7
254,"('Einars', 'Repše')",PER,2
255,"('Repše',)",PER,8
256,"('SKP-st',)",ORG,1
257,"('EL-i',)",ORG,3
258,"('KPMG',)",ORG,7
259,"('AS-i', 'Hansatee')",ORG,1
260,"('Tallinna-Helsingi',)",ORG,1
261,"('Hansatee', 'KPMG')",ORG,1
262,"('AS-is', 'Hansatee')",ORG,1
263,"('Euroopa', 'Liidu')",LOC,9
264,"('Andres', 'Hunt')",PER,2
265,"('Hunt',)",PER,3
266,"('Viking', 'Line')",ORG,2
267,"('Tallinn-Helsingi',)",LOC,1
268,"('Ahvenamaal',)",LOC,1
269,"('Euroopa', 'Liidult')",ORG,2
270,"('Mart', 'Laari')",PER,2
271,"('Mažeikiu', 'Nafta')",ORG,1
272,"('Williams', 'Internationali')",PER,1
273,"('John', 'Bumgarner')",PER,1
274,"('Mažeikiu', 'Naftale')",PER,2
275,"('Lietuvos',)",ORG,3
276,"('Aleksandras', 'Abisala')",PER,1
277,"('Leedu', 'valitsus')",ORG,1
278,"('Williams',)",PER,1
279,"('Jonas', 'Lionginas')",PER,1
280,"('Mažeikiu', 'Naftal')",PER,2
281,"('Lionginase',)",PER,1
282,"('Bumgarner',)",PER,1
283,"('Valdas', 'Adamkuse')",PER,1
284,"('Rolandas', 'Pakšasega')",PER,1
285,"('Mažeikiu', 'Nafta')",PER,3
286,"('Narva', 'Elektrijaamade')",ORG,1
287,"('Eesti', 'Energia')",ORG,8
288,"('Erki', 'Peegel')",PER,1
289,"('Seesam', 'Rahvusvaheline', 'Kindlustuse', ""AS'i"")",ORG,1
290,"('Salva', 'Kindlustuse', ""AS'i"", 'liikluskindlustuse')",ORG,1
291,"('AS', 'Sampo', 'Eesti', 'Varakindlustuse')",ORG,1
292,"('Sampo',)",LOC,2
293,"('Seesam',)",ORG,1
294,"('Salva',)",ORG,1
295,"('Hansapanga',)",ORG,9
296,"('Inge', 'Rumessen')",PER,1
297,"('maksuamet',)",ORG,2
298,"('Audit', 'EA')",PER,1
299,"('Rein', 'Ruusalu')",PER,2
300,"('Kristjan', 'Järve')",PER,3
301,"('Rimess', 'MRI')",ORG,2
302,"('Järve',)",PER,3
303,"('Lemmi', 'Oro')",PER,1
304,"('Rein', 'Ruutsoo')",PER,1
305,"('Ruusalu',)",PER,1
306,"('Aule', 'Kindsigo')",PER,1
307,"('Rimess',)",ORG,1
308,"('AS', 'Audit', 'EA', 'audiitor')",ORG,1
309,"('Maksuamet',)",ORG,2
310,"('TV1',)",ORG,3
311,"('Eesti', 'Sõltumatu', 'Televisiooni', 'AS')",ORG,1
312,"('Tõnis', 'Arnover')",PER,1
313,"('Euroopa', 'Liit')",ORG,3
314,"('ELi',)",ORG,12
315,"('Põhjala',)",LOC,3
316,"('Rootsist',)",LOC,2
317,"('Rootsi',)",LOC,48
318,"('Björn', 'Rosengren')",PER,2
319,"('Euroopa', 'Liidus')",ORG,2
320,"('Euroopa', 'Komisjoni')",ORG,3
321,"('Erkki', 'Liikaneniga')",PER,1
322,"('Stockholmi',)",LOC,3
323,"('Euroopa', 'Liit')",LOC,2
324,"('Põhjamaade',)",LOC,2
325,"('Põhjamaades',)",LOC,2
326,"('Norra',)",LOC,9
327,"('Rootsi', 'Netcom')",ORG,1
328,"('Rootsis',)",LOC,9
329,"('Norras',)",LOC,4
330,"('Telia',)",ORG,5
331,"('Netcomiga',)",ORG,1
332,"('Teliale',)",ORG,1
333,"('Teliaga',)",ORG,1
334,"('Soome', 'Sonera')",ORG,1
335,"('Netcomi',)",ORG,2
336,"('Põhjalas',)",ORG,1
337,"('Telenori', 'ja', 'Sonera')",ORG,1
338,"('Telias',)",ORG,1
339,"('Rosengren',)",PER,1
340,"('Rootsit',)",LOC,1
