lemma,inflect_type,pos,case,form
apelleerija,1,S,sg n,apelleerija
apelleerija,1,S,sg g,apelleerija
apologeetika,1,S,sg n,apologeetika
apologeetika,1,S,sg g,apologeetika
apoloogia,1,S,sg n,apoloogia
apoloogia,1,S,sg g,apoloogia
apooria,1,S,sg n,apooria
apooria,1,S,sg g,apooria
apopleksia,1,S,sg n,apopleksia
apopleksia,1,S,sg g,apopleksia
apostaasia,1,S,sg n,apostaasia
apostaasia,1,S,sg g,apostaasia
Araabia,1,H,sg n,Araabia
Araabia,1,H,sg g,Araabia
araabika,1,S,sg n,araabika
araabika,1,S,sg g,araabika
araalia,1,S,sg n,araalia
araalia,1,S,sg g,araalia
arabistika,1,S,sg n,arabistika
arabistika,1,S,sg g,arabistika
araukaaria,1,S,sg n,araukaaria
araukaaria,1,S,sg g,araukaaria
arboristika,1,S,sg n,arboristika
arboristika,1,S,sg g,arboristika
arbuja,1,S,sg n,arbuja
arbuja,1,S,sg g,arbuja
arendaja,1,S,sg n,arendaja
arendaja,1,S,sg g,arendaja
arenematu,1,A,sg n,arenematu
arenematu,1,A,sg g,arenematu
aretaja,1,S,sg n,aretaja
aretaja,1,S,sg g,aretaja
argumenteerimatu,1,A,sg n,argumenteerimatu
argumenteerimatu,1,A,sg g,argumenteerimatu
arheoloogia,1,S,sg n,arheoloogia
arheoloogia,1,S,sg g,arheoloogia
arhitektoonika,1,S,sg n,arhitektoonika
arhitektoonika,1,S,sg g,arhitektoonika
aristokraatia,1,S,sg n,aristokraatia
aristokraatia,1,S,sg g,aristokraatia
aritmeetika,1,S,sg n,aritmeetika
aritmeetika,1,S,sg g,aritmeetika
Arktika,1,H,sg n,Arktika
Arktika,1,H,sg g,Arktika
armastaja,1,S,sg n,armastaja
armastaja,1,S,sg g,armastaja
armastatu,1,S,sg n,armastatu
armastatu,1,S,sg g,armastatu
Armeenia,1,H,sg n,Armeenia
Armeenia,1,H,sg g,Armeenia
armetu,1,A,sg n,armetu
armetu,1,A,sg g,armetu
armunu,1,S,sg n,armunu
armunu,1,S,sg g,armunu
armutu,1,A,sg n,armutu
armutu,1,A,sg g,armutu
arnika,1,S,sg n,arnika
arnika,1,S,sg g,arnika
aroonia,1,S,sg n,aroonia
aroonia,1,S,sg g,aroonia
arreteeritu,1,S,sg n,arreteeritu
arreteeritu,1,S,sg g,arreteeritu
arteesia,1,S,sg n,arteesia
arteesia,1,S,sg g,arteesia
artilleeria,1,S,sg n,artilleeria
artilleeria,1,S,sg g,artilleeria
Aruba,1,H,sg n,Aruba
Aruba,1,H,sg g,Aruba
arutu,1,A,sg n,arutu
arutu,1,A,sg g,arutu
arvamatu,1,A,sg n,arvamatu
arvamatu,1,A,sg g,arvamatu
arvesti,1,S,sg n,arvesti
arvesti,1,S,sg g,arvesti
arvustaja,1,S,sg n,arvustaja
arvustaja,1,S,sg g,arvustaja
arvuti,1,S,sg n,arvuti
arvuti,1,S,sg g,arvuti
arvutu,1,A,sg n,arvutu
arvutu,1,A,sg g,arvutu
arütmia,1,S,sg n,arütmia
arütmia,1,S,sg g,arütmia
asendaja,1,S,sg n,asendaja
asendaja,1,S,sg g,asendaja
asendamatu,1,A,sg n,asendamatu
asendamatu,1,A,sg g,asendamatu
aseptika,1,S,sg n,aseptika
aseptika,1,S,sg g,aseptika
Aseri,1,H,sg n,Aseri
Aseri,1,H,sg g,Aseri
asjatu,1,A,sg n,asjatu
asjatu,1,A,sg g,asjatu
aspermia,1,S,sg n,aspermia
aspermia,1,S,sg g,aspermia
