source_value,source_concept_id,concept_id
C03BA04,21601493,1395058
C03BA05,21601494,19000556
C03BA08,21601496,907013
C03BA10,21601498,19010493
C03BA11,21601499,978555
C03BC01,21601510,19003070
C03BD01,21601512,19137056
C03BX03,21601515,19051444
C03CA01,21601518,956874
C03CA02,21601519,932745
C03CA03,21601520,19025498
C03CA04,21601521,942350
C03DA01,21601534,970250
C03DA03,21601536,19019698
C03DA04,21601537,1309799
C03DB01,21601539,991382
C03DB02,21601540,904542
C03XA01,21601558,19036797
C03XA02,21601559,19010927
C04AA01,21601563,1384360
C04AA02,21601564,19022494
C04AA31,21601565,19015342
C04AB01,21601567,1335539
C04AB02,21601568,19002829
C04AC01,21601570,1517824
C04AC02,21601571,19018823
C04AD01,21601575,19022570
C04AD03,21601577,1331247
C04AE01,21601580,745268
C04AE02,21601581,19018352
C04AE04,21601582,19026526
C04AF01,21601586,19123342
C04AX01,21601588,1309323
C04AX02,21601589,1335301
C04AX07,21601590,19008269
C04AX10,21601591,19007422
C04AX11,21601592,19016320
C04AX17,21601593,19078938
C04AX20,21601595,19039639
C04AX21,21601596,19014035
C04AX23,21601597,19018488
C04AX26,21601599,19031267
C04AX28,21601601,19069103
C05AA01,21601608,975125
C05AA04,21601609,1550557
C05AA05,21601610,920458
C05AA06,21601611,955583
C05AA08,21601612,19055344
C05AA09,21601613,1518254
C05AA11,21601615,955252
C05AA12,40255458,903963
C05AD01,21601618,989878
C05AD02,21601619,1036884
C05AD03,21601620,917006
C05AD04,21601621,923840
C05AD05,21601622,751698
C05AD07,21601624,927478
C05AE01,21601626,1361711
C05AE02,21601627,1383925
C05AE03,45893195,1328165
C05AX05,21601633,19042575
C05BA03,21601638,1367571
C05BB02,21601644,40175900
C05BB03,21601645,19003107
C05BB04,21601646,19070012
C05BB05,21601647,923540
C05CA01,21601654,19063981
C05CA03,21601656,19029488
C05CA04,21601657,19043154
C05CX01,21601663,19042575
C05CX02,40255507,19080493
C07AA01,21601667,19081284
C07AA02,21601668,19024904
C07AA03,21601669,1345858
C07AA05,21601670,1353766
C07AA06,21601671,902427
C07AA07,21601672,1370109
C07AA12,21601673,1313200
C07AA14,21601674,19072028
C07AA15,21601675,950370
C07AA16,21601676,19100451
C07AA17,21601677,19018640
C07AA19,21601678,19018489
