component,analyte,property,system,time_aspect,scale,loinc_number_array,method_typ_array
Immunoglobulin a,IgA,MCnc,Ser/Plas,Pt,Qn,{null},{null}
Immunoglobulin e,IgE,ACnc,Bld,Pt,Qn,{null},{null}
Immunoglobulin e,IgE,ACnc,Ser/Plas,Pt,Qn,{null},{null}
Immunoglobulin g,IgG,MCnc,Ser/Plas,Pt,Qn,{null},{null}
Immunoglobulin m,IgM,MCnc,Ser/Plas,Pt,Qn,{null},{null}
International normalized ratio,INR,RelTime,Bld,Pt,Qn,{null},{null}
International normalized ratio,INR,RelTime,Ser/Plas,Pt,Qn,{null},{null}
Iron,Fe,MCnc,Ser/Plas,Pt,Qn,"{14074-9,2498-4,2500-7,2501-5,50198-1,50199-9,50200-5,50201-3,50202-1,50203-9,50204-7,50205-4,74943-2,9356-7}",{null}
Iron,Fe,SCnc,fSP,Pt,Qn,{null},{null}
Iron,Fe,SCnc,Ser/Plas,Pt,Qn,"{14798-3,14800-7,22753-8}",{null}
Lactate dehydrogenase,LDH,CCnc,Bld,Pt,Qn,{null},{null}
Lactate dehydrogenase,LDH,CCnc,Ser/Plas,Pt,Qn,"{14804-9,14805-6,19248-4,2532-0,2535-3,2537-9,2538-7,2540-3,2541-1,2543-7,2544-5,2546-0,2547-8,2549-4}","{Chemical separation,Electrophoresis,Reaction: lactate to pyruvate,Reaction: pyruvate to lactate,null}"
Lactate dehydrogenase,LDH,unknown,Ser/Plas,Pt,Qn,{null},{null}
Low-density lipoprotein,LDL,SCnc,fSP,Pt,Qn,{null},{null}
Low-density lipoprotein,LDL,SCnc,Ser/Plas,Pt,Qn,{null},{null}
Lymphocytes,Lymph,NCnc,Bld,Pt,Qn,"{11130-2,26474-7,26477-0,29262-3,30114-3,30115-0,30181-2,30364-4,30412-1,30418-8,30464-2,33832-7,33834-3,35039-7,35040-5,35081-9,35082-7,43743-4,6863-5,731-0,732-8,734-4,9560-4,9562-0}","{Automated count,Flow cytometry,Manual count,null}"
Lymphocytes,Lymph,Num,Bld,Pt,Qn,{null},{null}
Lymphocytes,Lymph,unknown,Bld,Pt,Qn,{null},{null}
Magnesium,Mg,SCnc,Ser/Plas,Pt,Qn,"{11554-3,2600-5,2601-3,55937-7,65362-6}",{null}
Mean cell hemoglobin/ mean corpuscular hemoglobin,MCH,EntMass,Bld,Pt,Qn,{null},{null}
Mean corpuscular hemoglobin concentration,MCHC,MCnc,Bld,Pt,Qn,{null},{null}
Mean corpuscular volume,MCV,EntVol,Bld,Pt,Qn,{null},{null}
Mean platelet volume,MPV,EntVol,Bld,Pt,Qn,{null},{null}
Mean platelet volume,MPV,unknown,Bld,Pt,Qn,{null},{null}
Monocyte,Mono,NCnc,Bld,Pt,Qn,"{26484-6,29260-7,30440-2,32154-7,32349-3,33841-8,33855-8,34924-1,34926-6,35081-9,742-7,743-5}","{Automated count,Manual count,null}"
Monocyte,Mono,Num,Bld,Pt,Qn,{null},{null}
Monocyte,Mono,unknown,Bld,Pt,Qn,{null},{null}
Neutrophil,Neut,NCnc,Bld,Pt,Qn,"{26499-4,26507-4,30229-9,30449-3,30451-9,751-8,752-6,753-4,763-3,766-6,768-2}","{Automated count,Manual count,null}"
Neutrophil,Neut,Num,Bld,Pt,Qn,{null},{null}
Neutrophil,Neut,unknown,Bld,Pt,Qn,{null},{null}
Nucleated red blood cell,NRBC,unknown,Bld,Pt,Qn,{null},{null}
Pancreatic amylase,AmylP,CCnc,Ser/Plas,Pt,Qn,{null},{null}
Phosphate,P,SCnc,fSP,Pt,Qn,{null},{null}
Phosphate,P,SCnc,Ser/Plas,Pt,Qn,"{14879-1,25498-7,55972-4,62236-5}",{null}
Platelet distribution width,PDW,EntVol,Bld,Pt,Qn,{32207-3},{Automated count}
Platelet distribution width,PDW,Ratio,Bld,Pt,Qn,{51631-0},{null}
Platelet distribution width,PDW,unknown,Bld,Pt,Qn,{null},{null}
Platelet large cell ratio,LCR,NFr,Bld,Pt,Qn,{null},{null}
Platelet large cell ratio,LCR,NFr,Ser/Plas,Pt,Qn,{null},{null}
Platelets,PLT,NCnc,Bld,Pt,Qn,"{15201-7,26515-7,49497-1,51632-8,5907-1,71692-8,777-3,778-1}","{Automated count,Estimate,Manual count,null}"
Platelets,PLT,unknown,Bld,Pt,Qn,{null},{null}
Potassium,K,SCnc,Bld,Pt,Qn,"{6298-4,74353-4}",{null}
Potassium,K,SCnc,Ser/Plas,Pt,Qn,"{12812-4,12813-2,2823-3,29349-8,34548-8,51618-7,86919-8}",{null}
Procalcitonin,PCT,MCnc,Ser/Plas,Pt,Qn,"{33959-8,75241-0}","{IA,null}"
Procalcitonin,Trombokrit,VFr,Bld,Pt,Qn,{null},{null}
Protein,Prot,MCnc,Bld,Pt,Qn,"{2662-5,71426-1}","{High sensitivity,null}"
Protein,Prot,MCnc,Ser/Plas,Pt,Qn,"{10835-7,10878-7,12722-5,12723-3,14051-7,14164-8,1834-1,1836-6,18489-5,1869-7,1870-5,1871-3,1872-1,1873-9,1875-4,1876-2,1877-0,1878-8,1879-6,1880-4,1881-2,1882-0,1883-8,1884-6,1885-3,1886-1,1988-5,20577-3,2483-6,2573-4,2574-2,2575-9,2576-7,2663-3,2685-6,2729-2,2885-2,30522-7,33358-3,33654-5,33658-6,33667-7,33962-2,34907-6,35360-7,35388-8,35559-4,38491-7,39804-0,4503-9,48407-1,48499-8,49628-1,50796-2,50797-0,51002-4,51003-2,51004-0,51435-6,53962-7,54216-7,55724-9,57668-6,57669-4,58832-7,59008-3,59996-9,59997-7,59998-5,59999-3,60000-7,60001-5,60002-3,60003-1,60004-9,6772-8,6883-3,74101-7,83073-7,88054-2,9346-8}","{Calculated,Electrophoresis,High sensitivity,IA,null}"
Red blood  cell,RBC,NCnc,Bld,Pt,Qn,{null},{null}
Red blood  cell,RBC,unknown,Bld,Pt,Qn,{null},{null}
Red cell distribution width,RDW,EntVol,Bld,Pt,Qn,{null},{null}
Red cell distribution width,RDW,Ratio,Bld,Pt,Qn,{null},{null}
Red cell distribution width,RDW,unknown,Bld,Pt,Qn,{null},{null}
Rheumatoid factor,RF,ACnc,fSP,Pt,Qn,{null},{null}
Rheumatoid factor,RF,ACnc,Ser/Plas,Pt,Qn,"{11572-5,13191-2}",{null}
Sodium,Na,SCnc,Bld,Pt,Qn,"{2947-0,74353-4}",{null}
Sodium,Na,SCnc,Ser/Plas,Pt,Qn,"{2951-2,34548-8,51419-0,74688-3}",{null}
Thyroid stimulating hormone,TSH,ACnc,Bld,Pt,Qn,{null},{null}
Thyroid stimulating hormone,TSH,ACnc,Ser/Plas,Pt,Qn,{null},{null}
Transferrin,Transf,MCnc,Bld,Pt,Qn,{null},{null}
Transferrin,Transf,MCnc,fSP,Pt,Qn,{null},{null}
Transferrin,Transf,MCnc,Ser/Plas,Pt,Qn,"{12949-4,30248-9,3034-6}",{null}
Triglycerides,Trigl,SCnc,Bld,Pt,Qn,{null},{null}
Triglycerides,Trigl,SCnc,fSP,Pt,Qn,{null},{null}
Triglycerides,Trigl,SCnc,Ser/Plas,Pt,Qn,{null},{null}
Urea,Urea,SCnc,Bld,Pt,Qn,"{59570-2,72903-8}",{null}
Urea,Urea,SCnc,fSP,Pt,Qn,{null},{null}
Urea,Urea,SCnc,Ser/Plas,Pt,Qn,"{14937-7,22664-7,39776-0,39777-8}",{null}
White blood cell,WBC,NCnc,Bld,Pt,Qn,{null},{null}
White blood cell,WBC,unknown,Bld,Pt,Qn,{null},{null}
