_token_,_type_
/kg,dose_quantity_unit
RU/mL,dose_quantity_unit
s/p,dose_quantity_unit
mIU/l,dose_quantity_unit
g/näd,dose_quantity_unit
min/,dose_quantity_unit
mmg/Hg,dose_quantity_unit
s/p/,dose_quantity_unit
mmg/l,dose_quantity_unit
Tü/ml,dose_quantity_unit
ml/s/s,dose_quantity_unit
t/ü,dose_quantity_unit
pg/l,dose_quantity_unit
mcg/g,dose_quantity_unit
MG/L,dose_quantity_unit
g/l,dose_quantity_unit
/x/a,dose_quantity_unit
ng/l,dose_quantity_unit
/tbl,dose_quantity_unit
s/a,dose_quantity_unit
IU/L,dose_quantity_unit
W/,dose_quantity_unit
mg/t,dose_quantity_unit
m/U/l,dose_quantity_unit
Hz/dB,dose_quantity_unit
x/a,dose_quantity_unit
Dcyl/,dose_quantity_unit
mL/h,dose_quantity_unit
g/ml,dose_quantity_unit
x´/,dose_quantity_unit
mg/m,dose_quantity_unit
/x,dose_quantity_unit
mkg/kuus,dose_quantity_unit
mg/ml/h,dose_quantity_unit
g/,dose_quantity_unit
l/MIN,dose_quantity_unit
p/,dose_quantity_unit
ug/g,dose_quantity_unit
ml/m,dose_quantity_unit
mkg/,dose_quantity_unit
cm/,dose_quantity_unit
Hg/mm,dose_quantity_unit
gr/L,dose_quantity_unit
RÜ/ml,dose_quantity_unit
mkg/kg/min,dose_quantity_unit
näd/kuus,dose_quantity_unit
mm/s,dose_quantity_unit
//l,dose_quantity_unit
ug/,dose_quantity_unit
mg/mg,dose_quantity_unit
S/,dose_quantity_unit
tl/p,dose_quantity_unit
w/,dose_quantity_unit
m/l,dose_quantity_unit
/mmHg,dose_quantity_unit
l/,dose_quantity_unit
ml/t,dose_quantity_unit
%/,dose_quantity_unit
RÜ/p,dose_quantity_unit
TÜ/p,dose_quantity_unit
/%,dose_quantity_unit
tbl/d,dose_quantity_unit
t/kuus,dose_quantity_unit
L/s,dose_quantity_unit
tü/ml,dose_quantity_unit
mkg/ml,dose_quantity_unit
km/h,dose_quantity_unit
ü/l,dose_quantity_unit
dB/,dose_quantity_unit
mkg/t,dose_quantity_unit
mg/näd,dose_quantity_unit
ml/kg/min,dose_quantity_unit
mg/ndl,dose_quantity_unit
µg/p,dose_quantity_unit
ml/ml,dose_quantity_unit
mm/l,dose_quantity_unit
TÜ/t,dose_quantity_unit
ng/,dose_quantity_unit
sm/,dose_quantity_unit
üh/t,dose_quantity_unit
ml/p,dose_quantity_unit
pg/ml,dose_quantity_unit
mg/kuus,dose_quantity_unit
MG/D,dose_quantity_unit
MCG/D,dose_quantity_unit
X/MIN,dose_quantity_unit
mmg/,dose_quantity_unit
/Dsph,dose_quantity_unit
RU/ml,dose_quantity_unit
l/m²,dose_quantity_unit
mIU/mL,dose_quantity_unit
h/p,dose_quantity_unit
g/%,dose_quantity_unit
l/s,dose_quantity_unit
mg/kg/min,dose_quantity_unit
tbl/,dose_quantity_unit
W//kg,dose_quantity_unit
h/,dose_quantity_unit
mmg/h,dose_quantity_unit
a/,dose_quantity_unit
/ml,dose_quantity_unit
U/l,dose_quantity_unit
mcg/h,dose_quantity_unit
MCG/,dose_quantity_unit
m/TÜ,dose_quantity_unit
mL/min,dose_quantity_unit
g/m,dose_quantity_unit
mg/kg/h,dose_quantity_unit
m/U/L,dose_quantity_unit
mU/U,dose_quantity_unit
U/,dose_quantity_unit
h/kuus,dose_quantity_unit
ml/kg,dose_quantity_unit
IU/,dose_quantity_unit
u/L,dose_quantity_unit
k,time
mmol/l,dose_quantity_unit
mmol/L,dose_quantity_unit
